replicate,n_divergences,max_rhat,c_index,n_events,mu_approach_SAVR_mean,mu_approach_SAVR_sd,mu_approach_SAVR_true,mu_approach_TAVR_mean,mu_approach_TAVR_sd,mu_approach_TAVR_true,mu_approach_ViV-TAVR_mean,mu_approach_ViV-TAVR_sd,mu_approach_ViV-TAVR_true,shape_k_mean,shape_k_sd,shape_k_true,tau_family_mean
33,12,1.0084906894789367,0.6410256410256411,5,3.3059835629173815,0.28046239678714086,2.70805020110221,3.084196564338837,0.3741328483257584,2.995732273553991,3.023575342719145,0.39213740223292676,2.995732273553991,2.3673913434178653,0.6746113882690091,3.5,0.4230751096319981
34,2,1.002380094290792,0.6409090909090909,8,2.947516928758797,0.2449891283423355,2.70805020110221,3.0792654177392342,0.3876641581109898,2.995732273553991,3.0314104269845887,0.3835436521628849,2.995732273553991,2.5101699759248652,0.7058174675648273,3.5,0.30356934855887346
35,7,1.0037995812191587,0.753731343283582,5,3.1592308591031064,0.3049542375574522,2.70805020110221,3.0579980513986014,0.3781303077463391,2.995732273553991,3.016880429486636,0.38872550412436657,2.995732273553991,2.877817320092045,1.034934912498825,3.5,0.3163382122222553
36,13,1.0066533195110459,0.7093023255813954,8,3.007870908377426,0.26784351220636776,2.70805020110221,3.0658356737997616,0.3683350724813472,2.995732273553991,3.0360253375696753,0.3966715087848494,2.995732273553991,2.2929054347917917,0.6608086418640914,3.5,0.4412216745280159
37,0,1.0070438012845075,0.6031746031746031,6,2.9406119517464178,0.24259817401643785,2.70805020110221,3.032415930991145,0.3685957901073061,2.995732273553991,3.023973947958574,0.3958387062924246,2.995732273553991,3.519930004911442,1.2947840666012327,3.5,0.2994205000000318
38,14,1.0041363220289166,0.6438356164383562,5,3.2595767224350443,0.2994959510998253,2.70805020110221,3.092487544397098,0.3747382346508822,2.995732273553991,3.027009079359026,0.3941044119746724,2.995732273553991,2.454477726186136,0.7509425973944306,3.5,0.3729890133495202
39,3,1.0114264764893464,0.634020618556701,8,2.9064124791904686,0.23365618212292527,2.70805020110221,3.065442884890271,0.3662232431163519,2.995732273553991,3.0143201479964135,0.3900843471903962,2.995732273553991,2.825264202749919,0.8162070778040038,3.5,0.3069359451538207
40,4,1.0050042367162124,0.6358695652173914,7,2.9181397846614696,0.26698940909454577,2.70805020110221,3.0747111847539688,0.3768943296558299,2.995732273553991,3.0350793189894785,0.3862142291620941,2.995732273553991,2.8914569196181907,0.9564183533076777,3.5,0.3983908257099236
41,3,1.005477491992306,0.664,9,2.769003530770739,0.21400347758007857,2.70805020110221,3.058984634133592,0.3791548421606523,2.995732273553991,3.0356812956800057,0.37711944802733866,2.995732273553991,2.7716071067806887,0.7808667824460315,3.5,0.4368690604286538
42,25,1.0049988775037884,0.6016949152542372,7,3.149582867872987,0.2712178103941535,2.70805020110221,3.0987332977331414,0.38764573157767224,2.995732273553991,3.024617822068922,0.3675715023393296,2.995732273553991,2.1363886085445776,0.5759913671715359,3.5,0.33363765538369905
43,1,1.0043505142584426,0.6555555555555556,4,3.294440225781757,0.3000120804332759,2.70805020110221,3.06417093546377,0.35366377996857207,2.995732273553991,3.027263154579119,0.3858194579037949,2.995732273553991,2.6949003259656608,0.856452306080698,3.5,0.3410483326308196
44,34,1.003615434767786,0.75,8,3.2032124017174084,0.2617464200558644,2.70805020110221,2.883704758094702,0.350404312769387,2.995732273553991,3.056829199750476,0.399800731425674,2.995732273553991,1.9603833282763063,0.501482714873496,3.5,0.39496784985171124
45,15,1.0117916859214646,0.546875,6,3.215374370260124,0.2982372786499081,2.70805020110221,3.0900036839383955,0.3727845711665208,2.995732273553991,3.028571815904002,0.3822566924151439,2.995732273553991,2.168676288785146,0.619289051585003,3.5,0.32092491391255606
46,22,1.002710884590761,0.5297619047619048,5,3.3212915892545025,0.2930369669009883,2.70805020110221,3.107179119858329,0.37223014029847046,2.995732273553991,3.0340285453982783,0.4013851434783529,2.995732273553991,2.1326380248328713,0.609349571046344,3.5,0.3191456610430435
47,9,1.0040646589415818,0.75,3,3.4713655401525405,0.3125286857298325,2.70805020110221,3.0738980693880404,0.3758197476093508,2.995732273553991,3.0240458028036974,0.3820178489162298,2.995732273553991,2.545415795080782,0.8451258230452979,3.5,0.3486151374098665
48,11,1.0068793160051903,0.6180555555555556,5,3.2318690172012,0.3066996149729943,2.70805020110221,3.0846443836958515,0.381577469310653,2.995732273553991,3.019082246531164,0.3729700055796878,2.995732273553991,2.3953912787476814,0.7278064764525439,3.5,0.32010625777729823
49,17,1.0057554417783987,0.5301204819277109,6,3.1660803101878097,0.28247007718309414,2.70805020110221,3.087148430086995,0.37902707059083646,2.995732273553991,3.0116252869654407,0.3978828896819587,2.995732273553991,2.2367232927258183,0.6505554570276917,3.5,0.3167580959932261
